"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dpe_mix_arrete_u_porte","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des portes (W/m²/K)"
"dpe_mix_arrete_classe_inertie","text","2147483647","√","","null","","","classe d’inertie du DPE (enum version BDNB)"
"dpe_mix_arrete_deperdition_mur","numeric","0","√","","null","","","somme des déperditions par les murs du DPE (W/K)"
"dpe_mix_arrete_deperdition_baie_vitree","numeric","0","√","","null","","","somme des déperditions par les baies vitrées du DPE (W/K)"
"dpe_mix_arrete_deperdition_plancher_bas","numeric","0","√","","null","","","somme des deperditions par les planchers bas du logement (W/K)"
"dpe_mix_arrete_deperdition_plancher_haut","numeric","0","√","","null","","","somme des deperditions par les planchers hauts du logement (W/K)"
"dpe_mix_arrete_deperdition_pont_thermique","numeric","0","√","","null","","","somme des deperditions par les portes du DPE (W/K)"
"dpe_mix_arrete_deperdition_porte","numeric","0","√","","null","","","somme des deperditions par les portes du DPE (W/K)"
"dpe_mix_arrete_nb_classe_bilan_dpe_a","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe A"
"dpe_mix_arrete_nb_classe_bilan_dpe_b","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe B"
"dpe_mix_arrete_nb_classe_bilan_dpe_c","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe C"
"dpe_mix_arrete_nb_classe_bilan_dpe_d","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe D"
"dpe_mix_arrete_nb_classe_bilan_dpe_e","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe E"
"dpe_mix_arrete_nb_classe_bilan_dpe_f","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe F"
